,Course Code,Title,EOS,Mid
23,,Cork Institute of Technology,,
24,CR105,Chemical and Biopharmaceutical Engineering,432,498.0
25,CR106,Software Development,351,393.0
26,CR108,Mechanical Engineering,425,487.0
27,CR109,Structural Engineering,341,467.0
28,CR110,Automotive Business Management and Technology,318,347.0
29,CR112,Creative Digital Media,335,389.0
30,CR116,Computer Systems,318,381.0
31,CR121,Music at CIT Cork School of Music,#633,1052.0
32,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021.0
33,CR126,Popular Music: Drums at CIT Cork School of Music,#878,1043.0
34,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,761.0
35,CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,1009.0
36,CR129,Popular Music: Voice at CIT Cork School of Music,#857,927.0
37,CR130,Musical Theatre,#500,600.0
38,CR150,Business Information Systems,326,371.0
39,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,979.0
40,CR220,Fine Art at CIT Crawford College of Art and Design,#620,819.0
41,CR225,Photography with New Media,#920,920.0
42,CR305,Physical Sciences (Common Entry),279,309.0
43,CR310,IT Management,282,317.0
44,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556.0
45,CR325,Pharmaceutical Biotechnology,388,422.0
46,CR333,Nutrition and Health Science,360,393.0
47,CR335,Biological Sciences (Common Entry),381,419.0
48,CR340,Analytical Chemistry with Quality Assurance,288,315.0
49,CR360,Instrument Engineering,291,329.0
50,CR365,Environmental Science and Sustainable Technology,334,362.0
51,CR370,Agri-Biosciences,408,431.0
52,CR400,Accounting,316,389.0
53,CR420,Marketing,288,329.0
54,CR425,International Business with Language,300,392.0
0,CR500,Engineering (Common Entry),381,424.0
1,CR510,Sustainable Energy Engineering,319,343.0
2,CR520,Biomedical Engineering,434,477.0
3,CR560,Architectural Technology,288,332.0
4,CR565,Interior Architecture,336,390.0
5,CR570,Quantity Surveying,279,342.0
6,CR572,Construction Management,253,300.0
7,CR580,Electrical Engineering,344,374.0
8,CR590,Electronic Engineering,342,411.0
9,CR600,Visual Communications,#587,888.0
10,CR660,Tourism Management,249,290.0
